region,analytical_ride_type,use_case,db,bookings,pmm,rides,elasticity
ABE,standard_saver,airport_drop_off,d1,670.625049,-185.755787,81,-3.492258302
ABE,standard_saver,airport_drop_off,d2,1177.125514,-151.958907,106,-3.492258302
ABE,standard_saver,airport_drop_off,d3,702.369801,-39.311499,47,-3.492258302
ABE,standard_saver,airport_drop_off,d4,578.645437,14.39297,27,-3.492258302
ABE,standard_saver,airport_drop_off,d5,2666.456066,614.887304,12,-3.492258302
ABE,standard_saver,non-airport,d1,157660.5655,24188.82949,20751,0
ABE,standard_saver,non-airport,d2,157247.0063,6629.442672,19115,0
ABE,standard_saver,non-airport,d3,180099.6933,17530.4281,15754,0
ABE,standard_saver,non-airport,d4,200092.4951,16236.39666,13272,0
ABE,standard_saver,non-airport,d5,279302.7499,-3107.046594,12321,0
ABI,standard_saver,non-airport,d1,4472.344669,-360.645558,708,0
ABI,standard_saver,non-airport,d2,7036.999245,-328.005112,870,0
ABI,standard_saver,non-airport,d3,7796.324019,460.342896,733,0
ABI,standard_saver,non-airport,d4,6894.424703,935.309006,473,0
ABI,standard_saver,non-airport,d5,7644.60098,1044.557959,291,0
ABQ,standard_saver,airport_drop_off,d1,733.507001,9.95019,75,-5.649344115
ABQ,standard_saver,airport_drop_off,d2,1263.175348,-70.253399,109,-5.649344115
ABQ,standard_saver,airport_drop_off,d3,1328.901959,-48.608555,91,-5.649344115
ABQ,standard_saver,airport_drop_off,d4,1226.312716,-33.25963,62,-5.649344115
ABQ,standard_saver,airport_drop_off,d5,1108.70166,-135.481897,46,-5.649344115
ABQ,standard_saver,non-airport,d1,29743.82737,-3910.764342,5563,0
ABQ,standard_saver,non-airport,d2,37321.57854,-8617.175478,5887,0
ABQ,standard_saver,non-airport,d3,41726.31359,-5991.858976,4800,0
ABQ,standard_saver,non-airport,d4,43159.12459,-4374.939486,3545,0
ABQ,standard_saver,non-airport,d5,57283.28259,-10800.8086,3152,0
ABR,standard_saver,non-airport,d1,319.267379,37.064858,54,0
ABR,standard_saver,non-airport,d2,656.234196,-29.039478,121,0
ABR,standard_saver,non-airport,d3,337.043352,-61.452197,58,0
ABR,standard_saver,non-airport,d4,498.741554,-109.675866,78,0
ABR,standard_saver,non-airport,d5,1046.554103,-38.340628,99,0
ABY,standard_saver,airport_drop_off,d5,529.628829,-157.726346,2,0
